"at" "gr"
2.54446791140104 1
1.57065906513792 1
-1.5614000826458 1
-0.390691860512825 1
2.70356502074778 1
-0.54229797819657 1
1.9622847140305 1
1.82742695609908 1
1.44864826586396 1
0.981201699400678 1
-0.584766065653353 1
-0.577551896328844 1
1.49368580583313 1
2.19058280265993 1
0.466658758792296 1
2.00908384445833 1
0.14118096681247 1
1.27949878729317 1
1.11156569083459 1
1.52619759397251 1
0.60236218628319 2
-1.12340375455811 2
-2.85310821289416 2
1.69304069146112 2
-0.648475720486751 2
3.3498501827991 2
-1.40815033539152 2
0.191660569081013 2
1.31258774506584 2
3.16999604032377 2
1.5725596767624 2
2.05384027047038 2
0.253304602788898 2
-0.729423869789822 2
1.06515113346455 2
-1.44359391802708 2
0.364106422847875 2
1.01581281386941 2
-4.00064448459161 2
-0.638716086466108 2
3.06550485729914 2
0.511796531836268 2
-3.32266331935147 2
-1.4141379989796 2
-1.00400829224741 2
0.30380455274364 2
-1.39905228431295 2
0.819375280540228 3
1.20298650431178 3
0.895318856011503 3
0.845112386721589 3
0.875568605171071 3
-3.12364781861328 3
-1.11361729951555 3
2.880671584688 3
-0.667549949013559 3
1.6838838277028 3
-2.03743366253965 3
1.31216319745965 3
2.18588604681922 3
1.32907521479225 3
2.24879169034884 3
-2.47249633303701 3
2.85386888452983 3
1.04745295332759 3
-2.18622063448778 3
0.975704688801332 3
-1.7511231436976 3
-1.2016461807673 3
-1.49982709001513 3
-0.644717594058088 3
0.714983189702377 3
2.76397832478401 3
-0.88902368130545 3
0.512482151338327 3
