"attract" "group"
-0.209535122078651 1
3.16937359559543 1
0.88969758428917 1
1.98673312060376 1
0.719379232227823 1
2.08066057280386 1
2.17395610352899 1
2.35644522066019 1
-0.202328211796298 1
3.16767946620193 1
0.364691776266363 1
3.60988594153308 1
3.96030210118197 1
3.22899826934152 1
1.81775231641894 1
-0.481072801847534 1
3.03942475609611 1
2.78659229240878 1
1.26136378656457 1
4.89225225630494 2
1.33174234067128 2
0.615204238138544 2
1.1349844617604 2
0.997301282578488 2
0.839641392264752 2
0.709017279355137 2
3.1776934516863 2
3.34549848245805 2
1.62426867570525 2
2.09989110542403 2
3.45138194219673 2
1.45302702229127 2
6.23651521192006 2
3.05277047560559 2
3.96741054809141 2
-0.400623344337439 2
2.91447033257208 2
6.81755284531314 2
1.01772501219932 3
-1.07972013988097 3
2.04050360443387 3
-1.38797040485909 3
0.234952666562616 3
-0.12654753633991 3
-2.20801948189997 3
2.33166323304861 3
-0.126301333953478 3
-0.303790787200956 3
1.70028555585355 3
1.8169006774925 3
0.760214236784628 3
2.62312867860398 3
-1.15489327474612 3
-3.71607024531515 3
1.98803225694921 3
2.93202789470798 3
-0.106179192784602 3
1.05281079209998 3
-4.0165169267025 3
4.67635142233203 3
-2.49877937904448 3
3.13690133163751 3
0.53030257336319 3
-4.58252153605398 3
-3.58482392614265 3
1.34183111032396 3
-2.71149688146908 3
